,Model Parameters,Support Loss,Challenge Loss
dpmc Exp. Model,[4.988099463514186e-05, 1.550851054502345],7228.237592833557,116880.29710174855
dpmc Poly. Model,[1.8764321914261774e-17, 12.278043187688127],7237.169157600475,103099.12613126599
